game,top_1_game,top_1_sim,top_2_game,top_2_sim,top_3_game,top_3_sim,top_4_game,top_4_sim,top_5_game,top_5_sim,top_6_game,top_6_sim,top_7_game,top_7_sim,top_8_game,top_8_sim,top_9_game,top_9_sim,top_10_game,top_10_sim
Syder Arcade,The Shivah,0.506877293252158,Spirits,0.43488771791775227,Toki Tori 2+,0.4347651530093871,Beatbuddy Tale of the Guardians,0.37275240093922923,BIT.TRIP Presents... Runner2 Future Legend of Rhythm Alien,0.35688042495613953,Ravensword Shadowlands,0.35087934262483234,To the Moon,0.3325973326578756,TypeRider,0.3283987433814382,Savant - Ascent,0.3073382498351252,Shank 2,0.2982241261827513
Symphony,Galcon Legends,0.5378471110793895,Ittle Dew,0.4337021958576402,Draw a Stickman EPIC,0.40098575660957736,English Country Tune,0.398942131445569,Finding Teddy Soundtrack,0.3872338282743808,Fieldrunners,0.38214022603773384,Ethan Meteor Hunter,0.37909693804328026,Ballpoint Universe Infinite,0.37868951868708056,Galcon Fusion,0.36716467586787926,Finding Teddy,0.3655889141209269
Synergy,Zombie Panic Source,0.2727888885559492,Half-Life 2,0.25512976172159674,Half-Life 2 Episode Two,0.2549172772750222,Half-Life 2 Episode One,0.25372961073983924,Portal 2,0.19537069308972094,Portal,0.19317652840659735,Half-Life 2 Lost Coast,0.19239953963783063,Red Faction Guerrilla Steam Edition,0.18691747814962525,Source Filmmaker,0.1845545890062863,Garry's Mod,0.18374893539011422
System Shock 2,X2 The Threat,0.39492238015655223,Prime World Defenders,0.34602972464415943,Superfrog HD,0.3347523532626796,AquaNox,0.3273995224662097,RAW - Realms of Ancient War,0.32455115890942127,Thief Gold,0.32170270008695184,Divinity II Developer's Cut,0.31063484455843315,Deadly Premonition The Director's Cut,0.3095335605065477,Shadow Warrior Classic Redux,0.30652524436286155,AquaNox 2 Revelation,0.3058117684098988
TDP4Team Battle,Neverwinter,0.09321746112348542,Robocraft,0.06633038138852597,Unturned,0.05337437155856517,Heroes & Generals,0.05211036156929079,Warframe,0.049447352906636585,Dota 2,0.025258033182241693,ARK Survival Evolved,0.0,Ys Origin,0.0,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),0.0,theHunter,0.0
TDP5 Arena 3D,Unturned,0.08177507633388563,HAWKEN,0.07167959897950661,Survarium,0.06977730334545335,Counter-Strike Nexon Zombies,0.06821104282646333,Team Fortress 2,0.05962766824465425,Heroes & Generals,0.05535952283584247,Marvel Heroes 2015,0.05301260289937938,No More Room in Hell,0.04746707695115295,Warframe,0.0470990177216961,Robocraft,0.04612973513152588
TERA,Warframe,0.20195968632932737,Zombies Monsters Robots,0.17877084568546955,PlanetSide 2,0.17033690300094115,Dirty Bomb,0.1648247377724655,Counter-Strike Global Offensive,0.16317972490121566,Tom Clancy's Ghost Recon Phantoms - NA,0.15886122094319668,Trove,0.1581898946392626,Terraria,0.155624059862757,Neverwinter,0.1469387510906386,Firefall,0.14663282391755536
THE KING OF FIGHTERS XIII STEAM EDITION,Deadlight Original Soundtrack,0.4644672707313614,The Incredible Adventures of Van Helsing Thaumaturge,0.45401681575886377,PixelJunk Eden,0.35632197926110615,Sonic & All-Stars Racing Transformed,0.32248166088569524,Full Mojo Rampage,0.2968970013533133,The Incredible Adventures of Van Helsing,0.2789078746251585,Deadlight,0.2784961172010094,METAL SLUG 3,0.2738372611797442,Orcs Must Die! 2,0.2553722249988922,Strider,0.24812028489854937
TI5 - CDEC's Journey to The Majors,TI5 - Player Profiles Invictus Gaming - Ferrari,0.9999999999999999,TI5 - Player Profiles Fnatic - Kecik-Imba,0.9999999999999999,TI5 - Player Profiles Empire - Alohadance,0.9999999999999999,TI5 - Player Profiles EHOME - ROTK,0.9999999999999999,TI5 - Player Profiles EG - Suma1L,0.9999999999999999,TI5 - Player Profiles Complexity - zfreek,0.9999999999999999,TI5 - Player Profiles Cloud9 - NoTail,0.9999999999999999,TI5 - EG Champions of TI5,0.9999999999999999,TI5 - Player Profiles VirtusPro - FNG,0.9999999999999999,TI5 - Player Profiles Vici - fy,0.9999999999999999
TI5 - EG Champions of TI5,TI5 - Player Profiles Invictus Gaming - Ferrari,0.9999999999999999,TI5 - Player Profiles Fnatic - Kecik-Imba,0.9999999999999999,TI5 - Player Profiles Empire - Alohadance,0.9999999999999999,TI5 - Player Profiles EHOME - ROTK,0.9999999999999999,TI5 - Player Profiles EG - Suma1L,0.9999999999999999,TI5 - Player Profiles Complexity - zfreek,0.9999999999999999,TI5 - Player Profiles Cloud9 - NoTail,0.9999999999999999,TI5 - CDEC's Journey to The Majors,0.9999999999999999,TI5 - Player Profiles VirtusPro - FNG,0.9999999999999999,TI5 - Player Profiles Vici - fy,0.9999999999999999
TI5 - Player Profiles Cloud9 - NoTail,TI5 - Player Profiles Invictus Gaming - Ferrari,0.9999999999999999,TI5 - Player Profiles Fnatic - Kecik-Imba,0.9999999999999999,TI5 - Player Profiles Empire - Alohadance,0.9999999999999999,TI5 - Player Profiles EHOME - ROTK,0.9999999999999999,TI5 - Player Profiles EG - Suma1L,0.9999999999999999,TI5 - Player Profiles Complexity - zfreek,0.9999999999999999,TI5 - CDEC's Journey to The Majors,0.9999999999999999,TI5 - EG Champions of TI5,0.9999999999999999,TI5 - Player Profiles VirtusPro - FNG,0.9999999999999999,TI5 - Player Profiles Vici - fy,0.9999999999999999
TI5 - Player Profiles Complexity - zfreek,TI5 - Player Profiles Invictus Gaming - Ferrari,0.9999999999999999,TI5 - Player Profiles Fnatic - Kecik-Imba,0.9999999999999999,TI5 - Player Profiles Empire - Alohadance,0.9999999999999999,TI5 - Player Profiles EHOME - ROTK,0.9999999999999999,TI5 - Player Profiles EG - Suma1L,0.9999999999999999,TI5 - CDEC's Journey to The Majors,0.9999999999999999,TI5 - Player Profiles Cloud9 - NoTail,0.9999999999999999,TI5 - EG Champions of TI5,0.9999999999999999,TI5 - Player Profiles VirtusPro - FNG,0.9999999999999999,TI5 - Player Profiles Vici - fy,0.9999999999999999
TI5 - Player Profiles EG - Suma1L,TI5 - Player Profiles Invictus Gaming - Ferrari,0.9999999999999999,TI5 - Player Profiles Fnatic - Kecik-Imba,0.9999999999999999,TI5 - Player Profiles Empire - Alohadance,0.9999999999999999,TI5 - Player Profiles EHOME - ROTK,0.9999999999999999,TI5 - CDEC's Journey to The Majors,0.9999999999999999,TI5 - Player Profiles Complexity - zfreek,0.9999999999999999,TI5 - Player Profiles Cloud9 - NoTail,0.9999999999999999,TI5 - EG Champions of TI5,0.9999999999999999,TI5 - Player Profiles VirtusPro - FNG,0.9999999999999999,TI5 - Player Profiles Vici - fy,0.9999999999999999
